project,pr,clone_fingerprint,start_commit,end_commit,total_commits,categoria,distancia,duracao
flexile,106,96d5400f89c41fae2a650fe4a6fa874f,1,1,1,ini_mei_final,0.0,1.0
flexile,106,96d5400f89c41fae2a650fe4a6fa874f,1,1,1,ini_mei_final,0.0,1.0
flexile,106,c3783acef963be4b8b6349e22307407b,1,1,1,ini_mei_final,0.0,1.0
flexile,106,4976fbdf634e8b0f13a009c19bc3cdd7,1,1,1,ini_mei_final,0.0,1.0
flexile,106,7a9faca997c1751917d7d4f73880b0e7,1,1,1,ini_mei_final,0.0,1.0
flexile,106,76e2b9bec186ab2c71eff3a5d6d2e888,1,1,1,ini_mei_final,0.0,1.0
flexile,106,2083cd57c9ec3ad0d046c5babc2a6289,1,1,1,ini_mei_final,0.0,1.0
flexile,106,4976fbdf634e8b0f13a009c19bc3cdd7,1,1,1,ini_mei_final,0.0,1.0
flexile,106,5978858371b1001748685dec549b4d9d,1,1,1,ini_mei_final,0.0,1.0
flexile,106,5978858371b1001748685dec549b4d9d,1,1,1,ini_mei_final,0.0,1.0
flexile,106,5978858371b1001748685dec549b4d9d,1,1,1,ini_mei_final,0.0,1.0
flexile,106,265049d00d951226d346177f77325fbc,1,1,1,ini_mei_final,0.0,1.0
flexile,106,76e2b9bec186ab2c71eff3a5d6d2e888,1,1,1,ini_mei_final,0.0,1.0
flexile,106,b084d3698ebd2b78ed8b31bbaa50d3ed,1,1,1,ini_mei_final,0.0,1.0
flexile,106,5978858371b1001748685dec549b4d9d,1,1,1,ini_mei_final,0.0,1.0
flexile,106,7862b8ec7b0c5255e30def44aaab79b0,1,1,1,ini_mei_final,0.0,1.0
flexile,106,b084d3698ebd2b78ed8b31bbaa50d3ed,1,1,1,ini_mei_final,0.0,1.0
flexile,106,9d6e01ec8797d71c9c500eae7a44c2a4,1,1,1,ini_mei_final,0.0,1.0
flexile,106,ff09f8ad46a300dc72ad76f35f27ccc2,1,1,1,ini_mei_final,0.0,1.0
flexile,106,bb13f5d384b3dab6ca004d64de8d5e60,1,1,1,ini_mei_final,0.0,1.0
flexile,106,7a9faca997c1751917d7d4f73880b0e7,1,1,1,ini_mei_final,0.0,1.0
flexile,106,c3783acef963be4b8b6349e22307407b,1,1,1,ini_mei_final,0.0,1.0
flexile,106,c3783acef963be4b8b6349e22307407b,1,1,1,ini_mei_final,0.0,1.0
flexile,106,265049d00d951226d346177f77325fbc,1,1,1,ini_mei_final,0.0,1.0
flexile,106,7862b8ec7b0c5255e30def44aaab79b0,1,1,1,ini_mei_final,0.0,1.0
flexile,106,265049d00d951226d346177f77325fbc,1,1,1,ini_mei_final,0.0,1.0
flexile,106,b084d3698ebd2b78ed8b31bbaa50d3ed,1,1,1,ini_mei_final,0.0,1.0
flexile,106,5978858371b1001748685dec549b4d9d,1,1,1,ini_mei_final,0.0,1.0
flexile,106,bb13f5d384b3dab6ca004d64de8d5e60,1,1,1,ini_mei_final,0.0,1.0
flexile,106,9d6e01ec8797d71c9c500eae7a44c2a4,1,1,1,ini_mei_final,0.0,1.0
flexile,106,2083cd57c9ec3ad0d046c5babc2a6289,1,1,1,ini_mei_final,0.0,1.0
flexile,106,c3783acef963be4b8b6349e22307407b,1,1,1,ini_mei_final,0.0,1.0
flexile,106,7862b8ec7b0c5255e30def44aaab79b0,1,1,1,ini_mei_final,0.0,1.0
flexile,106,ff09f8ad46a300dc72ad76f35f27ccc2,1,1,1,ini_mei_final,0.0,1.0
flexile,131,96d5400f89c41fae2a650fe4a6fa874f,1,4,17,ini_mei,0.0,0.2353
flexile,131,96d5400f89c41fae2a650fe4a6fa874f,1,4,17,ini_mei,0.0,0.2353
flexile,131,c3783acef963be4b8b6349e22307407b,1,4,17,ini_mei,0.0,0.2353
flexile,131,4976fbdf634e8b0f13a009c19bc3cdd7,1,4,17,ini_mei,0.0,0.2353
flexile,131,7a9faca997c1751917d7d4f73880b0e7,1,4,17,ini_mei,0.0,0.2353
flexile,131,76e2b9bec186ab2c71eff3a5d6d2e888,1,4,17,ini_mei,0.0,0.2353
flexile,131,2083cd57c9ec3ad0d046c5babc2a6289,1,4,17,ini_mei,0.0,0.2353
flexile,131,4976fbdf634e8b0f13a009c19bc3cdd7,1,4,17,ini_mei,0.0,0.2353
flexile,131,5978858371b1001748685dec549b4d9d,1,4,17,ini_mei,0.0,0.2353
flexile,131,5978858371b1001748685dec549b4d9d,1,4,17,ini_mei,0.0,0.2353
flexile,131,5978858371b1001748685dec549b4d9d,1,4,17,ini_mei,0.0,0.2353
flexile,131,265049d00d951226d346177f77325fbc,1,4,17,ini_mei,0.0,0.2353
flexile,131,76e2b9bec186ab2c71eff3a5d6d2e888,1,4,17,ini_mei,0.0,0.2353
flexile,131,b084d3698ebd2b78ed8b31bbaa50d3ed,1,4,17,ini_mei,0.0,0.2353
flexile,131,5978858371b1001748685dec549b4d9d,1,4,17,ini_mei,0.0,0.2353
flexile,131,7862b8ec7b0c5255e30def44aaab79b0,1,4,17,ini_mei,0.0,0.2353
flexile,131,b084d3698ebd2b78ed8b31bbaa50d3ed,1,4,17,ini_mei,0.0,0.2353
flexile,131,9d6e01ec8797d71c9c500eae7a44c2a4,1,4,17,ini_mei,0.0,0.2353
flexile,131,ff09f8ad46a300dc72ad76f35f27ccc2,1,4,17,ini_mei,0.0,0.2353
flexile,131,bb13f5d384b3dab6ca004d64de8d5e60,1,4,17,ini_mei,0.0,0.2353
flexile,131,7a9faca997c1751917d7d4f73880b0e7,1,4,17,ini_mei,0.0,0.2353
flexile,131,c3783acef963be4b8b6349e22307407b,1,4,17,ini_mei,0.0,0.2353
flexile,131,c3783acef963be4b8b6349e22307407b,1,4,17,ini_mei,0.0,0.2353
flexile,131,265049d00d951226d346177f77325fbc,1,4,17,ini_mei,0.0,0.2353
flexile,131,7862b8ec7b0c5255e30def44aaab79b0,1,4,17,ini_mei,0.0,0.2353
flexile,131,265049d00d951226d346177f77325fbc,1,4,17,ini_mei,0.0,0.2353
flexile,131,b084d3698ebd2b78ed8b31bbaa50d3ed,1,4,17,ini_mei,0.0,0.2353
flexile,131,5978858371b1001748685dec549b4d9d,1,4,17,ini_mei,0.0,0.2353
flexile,131,bb13f5d384b3dab6ca004d64de8d5e60,1,4,17,ini_mei,0.0,0.2353
flexile,131,9d6e01ec8797d71c9c500eae7a44c2a4,1,4,17,ini_mei,0.0,0.2353
flexile,131,2083cd57c9ec3ad0d046c5babc2a6289,1,4,17,ini_mei,0.0,0.2353
flexile,131,c3783acef963be4b8b6349e22307407b,1,4,17,ini_mei,0.0,0.2353
flexile,131,7862b8ec7b0c5255e30def44aaab79b0,1,4,17,ini_mei,0.0,0.2353
flexile,131,ff09f8ad46a300dc72ad76f35f27ccc2,1,4,17,ini_mei,0.0,0.2353
flexile,210,96d5400f89c41fae2a650fe4a6fa874f,1,1,26,unique_ini,0.0,0.0385
flexile,210,96d5400f89c41fae2a650fe4a6fa874f,1,1,26,unique_ini,0.0,0.0385
flexile,210,c3783acef963be4b8b6349e22307407b,1,1,26,unique_ini,0.0,0.0385
flexile,210,4976fbdf634e8b0f13a009c19bc3cdd7,1,1,26,unique_ini,0.0,0.0385
flexile,210,bb13f5d384b3dab6ca004d64de8d5e60,1,1,26,unique_ini,0.0,0.0385
flexile,210,7a9faca997c1751917d7d4f73880b0e7,1,1,26,unique_ini,0.0,0.0385
flexile,210,76e2b9bec186ab2c71eff3a5d6d2e888,1,1,26,unique_ini,0.0,0.0385
flexile,210,2083cd57c9ec3ad0d046c5babc2a6289,1,1,26,unique_ini,0.0,0.0385
flexile,210,4976fbdf634e8b0f13a009c19bc3cdd7,1,1,26,unique_ini,0.0,0.0385
flexile,210,5978858371b1001748685dec549b4d9d,1,1,26,unique_ini,0.0,0.0385
flexile,210,5978858371b1001748685dec549b4d9d,1,1,26,unique_ini,0.0,0.0385
flexile,210,5978858371b1001748685dec549b4d9d,1,1,26,unique_ini,0.0,0.0385
flexile,210,265049d00d951226d346177f77325fbc,1,1,26,unique_ini,0.0,0.0385
flexile,210,76e2b9bec186ab2c71eff3a5d6d2e888,1,1,26,unique_ini,0.0,0.0385
flexile,210,bb13f5d384b3dab6ca004d64de8d5e60,1,1,26,unique_ini,0.0,0.0385
flexile,210,b084d3698ebd2b78ed8b31bbaa50d3ed,1,1,26,unique_ini,0.0,0.0385
flexile,210,5978858371b1001748685dec549b4d9d,1,1,26,unique_ini,0.0,0.0385
flexile,210,7862b8ec7b0c5255e30def44aaab79b0,1,1,26,unique_ini,0.0,0.0385
flexile,210,b084d3698ebd2b78ed8b31bbaa50d3ed,1,1,26,unique_ini,0.0,0.0385
flexile,210,9d6e01ec8797d71c9c500eae7a44c2a4,1,1,26,unique_ini,0.0,0.0385
